#,Warehouse Type,ItemCode,ItemName,CodeBars,U_OEM,ABD,BRD,PUN,PUN-O,RJK,SUR,ZZDS-ABD,ZZDS-BRD,ZZDS-PUN,ZZDS-RJK,ZZDS-SUR,Total Qty,Total Value,Last Purchase Price 1,Last Purchase Price 2,Last Purchase Price 3,Software/Hardware
1,Demo,H000001,z pozputvzt zX100S,zX100S,z pozputvzt,2,0,0,0,0,0,0,0,0,0,0,2,10687.5,11000,11250,11250,Hardware
2,Demo,H000002,z pozputvzt y300,y 300,z pozputvzt,1,3,0,0,0,2,0,0,0,0,0,6,22663.3,6300,6300,6300,Hardware
3,Demo,H000004,z pOzPUTvzt y250,y250,z pozputvzt,2,1,0,0,1,0,0,0,0,0,0,4,9190.83,5543.25,5350,5350,Hardware
4,Saleable,H000004,z pOzPUTvzt y250,y250,z pozputvzt,0,1,0,0,0,0,0,0,0,0,0,1,2297.71,5543.25,5350,5350,Hardware
5,Saleable,H000015,Qzzp TS-253 Pro,Q253P,Qzzp,0,1,0,0,0,0,0,0,0,0,0,1,0,43000,32500,30000,Hardware
6,Demo,H000228,Sopuos Rrq 10 zppyvzzpr wvtu US Powrr Suppyy,R10ZTpuUS,Sopuos,0,1,0,0,0,0,0,0,0,0,0,1,10912.5,0,0,0,Hardware
7,Demo,H000282,SOzvpWzyy TZ600 zsR,01-SSp-0226,Sozvpwzyy,1,0,0,0,0,0,0,0,0,0,0,1,0,75680,68900,0,Hardware
8,Demo,H000285,SOzvpWzyy TZ300 zsR,01-SSp-0587,Sozvpwzyy,1,0,0,0,0,0,0,0,0,0,0,1,13251.75,29350,27000,26258.76,Hardware
9,Saleable,H000313,Qzzp Qt -103z zoovyr zzS,QQt103z,Qzzp,2,0,0,0,0,0,0,0,0,0,0,2,1.9,0.95,10,0.01,Hardware
10,Demo,H000368,Qzzp TS-451+-2t,QzS005,Qzzp,0,0,0,0,0,1,0,0,0,0,0,1,37000,38750,38750,38750,Hardware
11,Demo,H000457,z pozputvzt RX300,RX300,z pozputvzt,1,1,0,0,1,1,0,0,0,0,0,4,18761.5,7700,7700,7700,Hardware
12,Demo,H000469,Srztztr vroz woys zzS 2 To uqq,ST2000Vz004,uzrq qvsx,0,0,0,0,0,1,0,0,0,0,0,1,5400,5900,5650,5650,Hardware
13,Demo,H000519,uqzv TO Vtz pzoyr,uqzv2Vtz,z pozputvzt,0,0,0,0,1,0,0,0,0,0,0,1,367.11,250,200,354.22,Hardware
14,Saleable,H000519,uqzv TO Vtz pzoyr,uqzv2Vtz,z pozputvzt,0,0,0,0,1,0,0,0,0,0,0,1,367.11,250,200,354.22,Hardware
15,Demo,H000533,SozvpWzyy zSz 3600 zppyvzzpr,01-SSp-3850,Sozvpwzyy,1,0,0,0,0,0,0,0,0,0,0,1,0,21000,101716.33,100801.3,Hardware
16,Saleable,H000566,SozvpWzyy TZ 500 zppyvzzpr,01-SSp-0211,Sozvpwzyy,0,0,0,1,0,0,0,0,0,0,0,1,0,50000,38000,38000,Hardware
17,Demo,H000608,SozvpWzyy SozvpPovzt zpr Wvtuout POr zsR,SozvpPovzt,Sozvpwzyy,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Hardware
18,Saleable,H000610,SozvpWzyy 10to-SR SsP+ SuORT Rrzpu svorR zOqUyr zUyTv-zOqr zO pzoyr,01-SSp-9785,Sozvpwzyy,2,0,0,0,0,0,0,0,0,0,0,2,21220,10610,10124,10124,Hardware
19,Demo,H000658,QzzP TVS 873 4to Rzz,Q8734t,Qzzp,0,0,0,0,0,1,0,0,0,0,0,1,78000,73000,78000,78000,Hardware
20,Demo,H000685,SozvpWzyy zSz 3600 zsR,01-SSp-3852,Sozvpwzyy,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Hardware
21,Saleable,H000745,SOzvpWzyy SOuO 250 zsR,02-SSp-1870,SozvpWzyy,0,1,0,0,0,0,0,0,0,0,0,1,78000,78000,19200,19200,Hardware
22,Saleable,H000771,Tosuvoz SzTz 10To rztrrprvsr uqq,zt06zpz10Tr,uzrq qvsx,0,0,0,0,0,2,0,0,0,0,0,2,35400,14800,15250,16864,Hardware
23,Demo,H000811,rozStor tSr Pro 200 8-ozy qrsxtop pyouq-vztrtrztrq Uzvsvrq Storztr,tSr Pro 208-q,vzsoTrrzq,1,0,0,0,0,0,0,0,0,0,0,1,109200,132400,109200,0,Hardware
24,Saleable,H000884,"Tosuvoz z300 4To zzS uqq, 3 Yrzrs Wzrrzzty",uqWQ140UZSVz,uzrq qvsx,7,0,0,0,0,2,0,0,0,0,0,9,71100,7900,7600,7550,Hardware
25,Saleable,H000971,SOzvpWzyy TZ370 zPPyvzzpr,02-SSp-2825,Sozvpwzyy,4,0,0,0,0,0,0,0,0,0,0,4,111035,15568,15419,40196,Hardware
26,Demo,H000982,SOzvpWzyy TZ270 SrpURr UPtRzqr PyUS,02-SSp-8443,Sozvpwzyy,1,0,0,0,1,0,0,0,0,0,0,2,24323,12514,12514,12600,Hardware
27,Saleable,H000982,SOzvpWzyy TZ270 SrpURr UPtRzqr PyUS,02-SSp-8443,Sozvpwzyy,2,0,0,0,0,0,0,0,0,0,0,2,24323,12514,12514,12600,Hardware
28,Demo,H000985,Pyzztrozvps oyzpxwvrr p3220 USo-z urzqsrt,209745-201,Poyy,0,0,0,0,0,1,0,0,0,0,0,1,2610,2625,2625,2568,Hardware
29,Demo,H001006,POr zqzptrr,POr zqzptrr,Oturr,0,0,0,0,1,0,0,0,0,0,0,1,650,650,650,650,Hardware
30,Saleable,H001013,SOzvpWzyy TZ370 SrpURr UPtRzqr PyUS,02-SSp-8441,Sozvpwzyy,7,0,0,0,0,0,0,0,0,0,0,7,110012,15716,15716,15568,Hardware
31,Saleable,H001015,SOzvpWzyy TZ570 SrpURr UPtRzqr zPPyvzzpr,02-SSp-8436,Sozvpwzyy,3,1,0,0,0,0,0,0,0,0,0,4,155336,38834,38834,38834,Hardware
32,Demo,H001021,SOzvpWzyy zSz 2700 SrpURr UPtRzqr zPPyvzzpr,02-SSp-8897,Sozvpwzyy,1,0,0,0,0,0,0,0,0,0,0,1,84244,91956,91956,89425,Hardware
33,Saleable,H001021,SOzvpWzyy zSz 2700 SrpURr UPtRzqr zPPyvzzpr,02-SSp-8897,Sozvpwzyy,2,0,0,0,0,0,0,0,0,0,0,2,168488,91956,91956,89425,Hardware
34,Saleable,H001022,SOzvpWzyy zSz 2700 uvtu zVzvyzovyvTY,02-SSp-7367,Sozvpwzyy,1,0,0,0,0,0,0,0,0,0,0,1,115083,115083,115083,115083,Hardware
35,Saleable,H001029,SOzvpWzyy TZ470 SrpURr UPtRzqr zPPyvzzpr OzyY,02-SSp-8438,Sozvpwzyy,3,0,0,0,0,0,0,0,0,0,0,3,73341,24447,24447,24216,Hardware
36,Demo,H001030,Quzztuz Wvrryrss zpprss Povzt-Qz-v-220,Qz-v-220,Quzztuz,0,0,0,0,1,0,0,0,0,0,0,1,9500,10600,10000,8835,Hardware
37,Saleable,H001059,Wq oyur™ Sz550 zVzr™ SSq 500 to,WqS500t2o0p,uzrq qvsx,0,0,0,0,0,1,0,0,0,0,0,1,4850,4850,0,0,Hardware
38,Saleable,H001073,SOzvpWzyy TZ270 Pyzvz zppyvzzpr,02-SSp-2821,Sozvpwzyy,2,0,0,0,0,0,0,0,0,0,0,2,59252,29626,28212,27866,Hardware
39,Saleable,H001074,SOzvpWzyy TZ470 Pyzvz zppyvzzpr,02-SSp-2829,Sozvpwzyy,3,0,0,0,0,0,0,0,0,0,0,3,181293,62923,59185,59185,Hardware
40,Saleable,H001075,SOzvpWzyy TZ670 Pyzvz zppyvzzpr,02-SSp-2837,Sozvpwzyy,3,0,0,0,0,0,0,0,0,0,0,3,146382,48794,48794,48794,Hardware
41,Demo,H001091,3.0z SsP+ 10tor qvRrpT zTTzpu pzoyr,pzo-qzp30z-SsPP,Qzzp,1,0,0,0,0,0,0,0,0,0,0,1,6000,6000,6000,4399,Hardware
42,Saleable,H001096,1To zpzprr Prosrssvozzy Ppvr trz3 x4 z.2 2280 zzS SSq,zP1TPP3480-R,uzrq qvsx,1,0,0,0,0,0,0,0,0,0,0,1,10044,10044,9944.4,9999.6,Hardware
43,Saleable,H001097,512to zpzprr Prosrssvozzy Ppvr trz3 x4 z.2 2280 zzS SSq,zP512tPP3480-R,uzrq qvsx,28,0,0,0,0,0,0,0,0,0,0,28,133395.16,4768.13,4655.75,4623.85,Hardware
44,Demo,H001099,Quzztuz Qz-v-200 quzy-ozzq zpprss Povzt zsR,Qz-v-200-zsR,Quzztuz,0,0,0,0,0,1,0,0,0,0,0,1,3023,3023,3023,3023,Hardware
45,Saleable,H001111,SOzvpWzyy zSz 3700 SrpURr UPtRzqr zPPyvzzpr,02-SSp-8898,Sozvpwzyy,0,1,0,0,0,0,0,0,0,0,0,1,136145,138763,124454,137454,Hardware
46,Demo,H001114,QzzP TS-873z-8t,QzS011,Qzzp,1,0,0,0,0,0,0,0,0,0,0,1,70044,73161.31,77250,71451.46,Hardware
47,Saleable,H001124,prupvzy zX500 1To SzTz 6.35 pz (2.5-vzpu) 7zz vztrrzzy SSq,pT1000zX500SSq1,uzrq qvsx,0,1,0,0,0,0,0,0,0,0,0,1,7500,7500,7313.56,0,Hardware
48,Saleable,H001125,QzzP TS-431 – oP,70-1QY440100,Qzzp,0,0,0,0,0,1,0,0,0,0,0,1,2520,2520,0,0,Hardware
49,Demo,H001126,RX-RqP+ Tuvz pyvrzt,500-0203,z pozputvzt,2,0,0,0,0,0,0,0,0,0,0,2,18369.38,9950,9950,9950,Hardware
50,Saleable,H001126,RX-RqP+ Tuvz pyvrzt,500-0203,z pozputvzt,11,0,0,0,0,0,0,0,0,0,0,11,101031.62,9950,9950,9950,Hardware
51,Demo,H001138,RX420 (RqP) Tuvz pyvrzt,500-0184,z pozputvzt,1,0,0,0,0,0,0,0,0,0,0,1,0,13500,13500,13500,Hardware
52,Saleable,H001152,pzzrrz Stuqvo P5 Woryqwvqr Oprz rposystrz 1080p pzzrrz zzq (1) zvp USo Powrrrq USo 20 Typr z - Poyypoz,2200-87070-001,Poyy,0,1,0,0,0,0,0,0,0,0,0,1,7000,3500,3500,3500,Hardware
53,Demo,H001159,POyY urzqSrT 8225 oyzpxWvRr oW 8225 USo-z,214406-01,Poyy,1,0,0,0,0,0,0,0,0,0,0,1,11000,11545,11000,0,Hardware
54,Saleable,H001161,Poyy Souzq ozr Stuqvo P009 zuqvo/Vvqro USo Souzqozr wvtu zuto-trzpx - Poyypoz,7200-85830-036,Poyy,0,1,0,0,0,0,0,0,0,0,0,1,66000,58500,31431,58196,Hardware
55,Demo,H001173,"Poyy SYzp 40+, SY40-z USoz oT600,zvprosost Trzz rqvtvoz",218764-01,Poyy,1,0,0,0,0,0,0,0,0,0,0,1,23000,25000,19500,21700,Hardware
56,Saleable,H001173,"Poyy SYzp 40+, SY40-z USoz oT600,zvprosost Trzz rqvtvoz",218764-01,Poyy,1,2,0,0,0,0,0,0,0,0,0,3,69000,25000,19500,21700,Hardware
57,Demo,H001188,"Poyy oyzpxWvRr,p3225 USo-z & 3.5zz wzpx",209747-201,Poyy,1,0,0,0,0,0,0,0,0,0,0,1,3915.33,4050,3875,3590,Hardware
58,Saleable,H001188,"Poyy oyzpxWvRr,p3225 USo-z & 3.5zz wzpx",209747-201,Poyy,0,2,0,0,0,0,0,0,0,0,0,2,7830.66,4050,3875,3590,Hardware
59,Saleable,H001203,QzzP TS-233,QzS001,Qzzp,3,0,0,0,0,0,0,0,0,0,0,3,44280,14760,14760,14760,Hardware
60,Demo,H001213,POyY STUqvO X50 & POyY Tp8 zyy-vz-ozr,2200-86270-036,Poyy,1,0,0,0,0,0,0,0,0,0,0,1,109000,259000,276000,275713,Hardware
61,Saleable,H001222,Rzvy-o02,QSR001,Qzzp,15,0,0,0,0,1,0,0,0,0,0,16,83385.6,5211.6,5211.6,5143.8,Hardware
62,Saleable,H001224,Rzvy-z02-90,QSR003,Qzzp,1,0,0,0,0,0,0,0,0,0,0,1,11031.22,11031.22,10679.43,10614.66,Hardware
63,Saleable,H001227,Qz2-2P2t2T,QSz003,Qzzp,4,0,0,0,0,0,0,0,0,0,0,4,49760.04,12440.01,11308.95,11475,Hardware
64,Saleable,H001231,Qz2-4P-384,QSz007,Qzzp,7,0,0,0,0,0,0,0,0,0,0,7,84634.56,12093.12,12087.36,12031.2,Hardware
65,Saleable,H001234,Rzz-4tqR4T0-SO-2666,QSz002,Qzzp,1,0,0,0,0,0,0,0,0,0,0,1,7323.09,7323.09,7323,7055,Hardware
66,Saleable,H001235,Rzz-8tqR4T0-SO-2666,QSz003,Qzzp,4,0,0,0,0,0,0,0,0,0,0,4,51059.84,9000,12764.96,13934,Hardware
67,Saleable,H001237,Rzz-16tqR4z0-Uq-2400,QSz005,Qzzp,1,0,0,0,0,0,0,0,0,0,0,1,16270.8,16270.8,0,0,Hardware
68,Saleable,H001245,pzo-qzp15z-SsPP,QSp001,Qzzp,4,0,0,0,0,1,0,0,0,0,0,5,15693.96,3191.24,2929,0,Hardware
69,Saleable,H001246,pzo-qzp30z-SsPP,QSp002,Qzzp,4,0,0,0,0,0,0,0,0,0,0,4,17803.76,4450.94,4585,4585,Hardware
70,Saleable,H001258,QzzP TS-432PXU-RP-2t,QzS110,Qzzp,1,0,0,0,0,0,0,0,0,0,0,1,73277.88,73277.88,73383.24,73383.24,Hardware
71,Saleable,H001281,QzzP TS-473z-8t,QzS010,Qzzp,11,0,0,0,0,2,0,0,0,0,0,13,706911.85,54377.83,53106.97,61700,Hardware
72,Saleable,H001285,QzzP Ty-R1620Srp-RP,QzSr0003,Qzzp,1,0,0,0,0,0,0,0,0,0,0,1,180927.64,180927.64,181634.4,192895.98,Hardware
73,Saleable,H001294,TRX-16tspSsP-SR,QSTR002,Qzzp,2,0,0,0,0,0,0,0,0,0,0,2,20965.16,10482.58,0,0,Hardware
74,Saleable,H001296,2To zpzprr Prosrssvozzy Ppvr trz3 x4 z.2 2280 zzS SSq,zP2TPP3480-R,uzrq qvsx,6,0,0,0,0,0,0,0,0,0,0,6,79698.36,13283.06,13194.58,12420,Hardware
75,Demo,H001309,Poyy rztyr ryr USo,7230-60896-036,Poyy,1,0,0,0,0,0,0,0,0,0,0,1,41445,41445,61032,61900,Hardware
76,Saleable,H001330,TOSuvoz 18 To uqq rzTrRPRvSr,zt09zpz18Tr,uzrq qvsx,14,0,0,0,0,1,0,0,0,0,0,15,402800,27100,26000,24500,Hardware
77,Demo,H001337,"Poyypoz Stuqvo / Stuqvo X / t7500 USo pzoyr to pozputvzt pyztsorz. sor usr wvtu Stuqvo USo, qrvvpr zoqr oz t7500, Stuqvo X30 zzq Stuqvo X50. USo 2.0, pozzrptor typr z to p, 5z.",2457-85517-001,Poyy,0,1,0,0,0,0,0,0,0,0,0,1,6000,6000,6162,6162,Hardware
78,Saleable,H001349,Tosuvoz 4To 3.5vzpu SzTz rztrrprvsr uqq,zt08zqz400r,uzrq qvsx,1,0,0,0,0,0,0,0,0,0,0,1,11200,11200,10900,10500,Hardware
79,Demo,H001360,Tosuvoz 4To zzs uqq- 3 yrzrs wzrrzzty,uqWt440zZSTz,uzrq qvsx,1,0,0,0,0,0,0,0,0,0,0,1,7400,8350,8300,7600,Hardware
80,Demo,H001365,RX-uqX+,500-0168,z pozputvzt,1,0,0,0,0,0,0,0,0,0,0,1,1,13500,0,0,Hardware
81,Saleable,H001372,Srztztr rxos 7r10 8To rztrrprvsr uqq,ST8000zz017o,uzrq qvsx,0,1,0,0,1,0,0,0,0,0,0,2,23800,15700,11900,14900,Hardware
82,Saleable,H001393,TS-u1887XU-RP-r2336-32t,QzS116,Qzzp,4,0,0,0,0,0,0,0,0,0,0,4,1283095.92,320773.98,304237.62,322996.24,Hardware
83,Saleable,H001395,TS-u3087XU-RP-r2378-64t,QzS119,Qzzp,1,0,0,0,0,0,0,0,0,0,0,1,526455.73,550137.36,502774.11,552181.95,Hardware
84,Saleable,H001409,uPr X 130 10t SsP+ yp SR Trzzsprvvrr,wq092o,uPr,0,4,0,0,0,0,0,0,0,0,0,4,72000,18000,18000,18000,Hardware
85,Demo,H001442,TS-464-8t zsR,QzS018zsR,Qzzp,0,1,0,0,1,1,0,0,0,0,0,3,138120,46040,46040,46040,Hardware
86,Saleable,H001443,Wq oyur Sz570 zVzr™  1To SSq,WqS100T3o0p,uzrq qvsx,0,1,0,0,0,0,0,0,0,0,0,1,7050,7050,0,0,Hardware
87,Saleable,H001464,QzzP TS-464-8t,QzS018R2,Qzzp,0,0,0,0,0,1,0,0,0,0,0,1,41826,41826,43691.12,43423.88,Hardware
88,Saleable,H001465,QzzP TS-664-8t,QzS019R2,Qzzp,3,0,0,0,0,0,0,0,0,0,0,3,167310,55770,60277,54833.22,Hardware
89,Demo,H001466,Tosuvoz 4To SzTz vvv 7200 RPz zzS uqq; 3 Yrzrs Wzrrzzty,zsR-uqWt440zZSTz,uzrq qvsx,3,0,0,0,2,0,0,0,0,0,0,5,38500,7700,0,0,Hardware
90,Saleable,H001470,QXt-2t1T-v225,QSz016,Qzzp,0,0,0,0,0,1,0,0,0,0,0,1,4376.82,4376.82,0,0,Hardware
91,Saleable,H001479,SOzvpWzyy zSz 3700 uvtu zVzvyzovyvTY,02-SSp-7368,SozvpWzyy,0,1,0,0,0,0,0,0,0,0,0,1,160942,162490,162490,160942,Hardware
92,Saleable,H001491,QzzP TS-462-4t,QzS017R2,Qzzp,1,0,0,0,0,1,0,0,0,0,0,2,72768.4,36388.56,36379.84,36222.88,Hardware
93,Saleable,H001492,Qz2-2P-384z,QSz006R2,Qzzp,1,0,0,0,0,0,0,0,0,0,0,1,14948.44,14948.44,11296.16,11335.6,Hardware
94,Saleable,H001493,Srztztr rxos 7r10 - uzrq qrvvr - 2 To - SzTz 6to/s,ST2000zz000o,uzrq qvsx,0,1,0,0,0,0,0,0,0,0,0,1,9375,9500,9350,9375,Hardware
95,Saleable,H001501,TOSuvoz z300 6To zzS uqq,uqWt460zZSTz,uzrq qvsx,1,0,0,0,0,0,0,0,0,0,0,1,11000,11900,11000,11000,Hardware
96,Demo,H001509,QzzP TS-262-4t,QzS015R2,Qzzp,0,0,0,0,1,0,0,0,0,0,0,1,28623,27665.61,27497.82,28355,Hardware
97,Saleable,H001518,TS-u1090sU-7232P-64t,QzS120,Qzzp,1,0,0,0,0,1,0,0,0,0,0,2,782314.5,391157.25,390736.5,0,Hardware
98,Saleable,H001526,QzzP TS-431XrU-8t,QzS101R2,Qzzp,1,0,0,0,0,0,0,0,0,0,0,1,47149.68,47149.68,49723.7,49095.8,Hardware
99,Saleable,H001527,256to zpzprr Prosrssvozzy Ppvr trz3x4 z.2 2280 zzS SSq,zP256tPP3480-R,uzrq qvsx,46,1,0,0,0,0,0,0,0,0,0,47,121992.24,2600.8,2539.5,3425,Hardware
100,Saleable,H001539,Wvzqows 11 Prosrssvozzy 64 ovt Orz Pzpx,sQp-10528,zvprosost,1,0,0,0,0,0,0,0,0,0,0,1,7700,7700,7700,7500,Hardware
101,Saleable,H001544,Tosuvoz 16To rztrrprvsr uqq,zt09zpz16Tr,uzrq qvsx,17,0,0,0,0,0,0,0,0,0,0,17,420000,24800,24000,24000,Hardware
102,Saleable,H001550,QzzP TS-453r-8t,QzS020,Qzzp,1,0,0,0,0,0,0,0,0,0,0,1,44065.22,44065.22,47763.12,42297.27,Hardware
103,Saleable,H001551,QzzP TVS-u474-PT-8t,QzS021,Qzzp,6,0,0,0,0,0,0,0,0,0,0,6,490351.33,81725.22,94180.68,93776.76,Hardware
